Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume
30/11/2018,200081.59,26506.08984,26683.25,26396.61914,26506.75,26506.75,2000815900
3/12/2018,254970.32,27185.66016,27259.42969,27006.83008,27182.03906,27182.03906,2549703200
4/12/2018,188048.33,27119.18945,27260.43945,26984.71094,27260.43945,27260.43945,1880483300
5/12/2018,133091.94,26745.68945,26914.86914,26745.68945,26819.67969,26819.67969,1330919400
6/12/2018,212318.06,26349.41992,26381.11914,26016.08984,26156.38086,26156.38086,2123180600
7/12/2018,272699.35,26249.81055,26280.66016,26055.7793,26063.75977,26063.75977,2726993500
10/12/2018,154428.46,25794.94922,25845.33984,25570.89063,25752.38086,25752.38086,1544284600
11/12/2018,119093.46,25623.40039,25861.73047,25623.40039,25771.66992,25771.66992,1190934600
12/12/2018,142966.06,26054.00977,26238.73047,26013.35938,26186.71094,26186.71094,1429660600
13/12/2018,174723.51,26417.89063,26581.92969,26314.76953,26524.34961,26524.34961,1747235100
14/12/2018,134436.41,26219,26219,26061.4707,26094.78906,26094.78906,1344364100
17/12/2018,103687.93,26178.03906,26186.30078,26002.30078,26087.98047,26087.98047,1036879300
18/12/2018,144944.93,25903.98047,26152.88086,25713.5,25814.25,25814.25,1449449300
19/12/2018,143018.15,25860.67969,25925.99023,25784.08984,25865.39063,25865.39063,1430181500
20/12/2018,171786.03,25723.5293,25859.82031,25416.88086,25623.5293,25623.5293,1717860300
21/12/2018,193529.89,25512.30078,25805.60938,25313.75,25753.41992,25753.41992,1935298900
24/12/2018,107412.01,25515.40039,25651.38086,25421.42969,25651.38086,25651.38086,1074120100
27/12/2018,131306.15,25818.81055,25920.63086,25446.80078,25478.88086,25478.88086,1313061500
28/12/2018,122489.44,25502.33984,25600.25,25416.35938,25504.19922,25504.19922,1224894400
31/12/2018,82650.73,25732.51953,25916.23047,25682.66016,25845.69922,25845.69922,826507300
2/1/2019,166631.64,25824.43945,25824.43945,25055.26953,25130.34961,25130.34961,1666316400
3/1/2019,148129.17,25077.67969,25262.21094,24896.86914,25064.35938,25064.35938,1481291700
4/1/2019,170857.21,24946.11914,25626.0293,24924.73047,25626.0293,25626.0293,1708572100
7/1/2019,144709.03,26015.83984,26043.64063,25753.46094,25835.69922,25835.69922,1447090300
8/1/2019,157820.57,25852.5,25960.89063,25688.5,25875.44922,25875.44922,1578205700
9/1/2019,268089.2,26237.28906,26597.07031,26192.65039,26462.32031,26462.32031,2680892000
10/1/2019,193904.39,26391.7793,26588.21094,26212.33984,26521.42969,26521.42969,1939043900
11/1/2019,179935.39,26692.01953,26692.01953,26494.85938,26667.26953,26667.26953,1799353900
14/1/2019,142601.74,26559.67969,26575.33008,26195.7793,26298.33008,26298.33008,1426017400
15/1/2019,182290.2,26518.61914,26838.55078,26427.44922,26830.28906,26830.28906,1822902000
16/1/2019,171488.65,26702.92969,26903.7793,26567.51953,26902.09961,26902.09961,1714886500
17/1/2019,186054.1,26953.21094,27012.18945,26703.31055,26755.63086,26755.63086,1860541000
18/1/2019,169270.19,26993.43945,27116.65039,26915.08008,27090.81055,27090.81055,1692701900
21/1/2019,164001.47,27134.26953,27323.60938,27084.30078,27196.53906,27196.53906,1640014700
22/1/2019,157844.97,27189.40039,27223.69922,26854.66016,27005.44922,27005.44922,1578449700
23/1/2019,138199.94,26879.91016,27131.2207,26879.91016,27008.19922,27008.19922,1381999400
24/1/2019,132373.21,27075.36914,27120.98047,26889.78906,27120.98047,27120.98047,1323732100
25/1/2019,226496.58,27282.88086,27569.18945,27217.75,27569.18945,27569.18945,2264965800
28/1/2019,170514.63,27695.81055,27790.2207,27462.36914,27576.96094,27576.96094,1705146300
29/1/2019,182183.8,27397.53906,27575.36914,27328.16992,27531.67969,27531.67969,1821838000
30/1/2019,182189.46,27571.41016,27642.84961,27369.75,27642.84961,27642.84961,1821894600
31/1/2019,222528.26,27842.05078,28010.90039,27773.98047,27942.4707,27942.4707,2225282600
1/2/2019,166971.69,28193.2793,28193.2793,27802.5,27930.74023,27930.74023,1669716900
4/2/2019,80806.13,27985.41992,28005.15039,27847.42969,27990.21094,27990.21094,808061300
8/2/2019,152766.96,27708.13086,28008.82031,27534.19922,27946.32031,27946.32031,1527669600
11/2/2019,138408.25,27927.44922,28143.83984,27847.84961,28143.83984,28143.83984,1384082500
12/2/2019,149252.15,28093.31055,28219.58984,27983.48047,28171.33008,28171.33008,1492521500
13/2/2019,193077.77,28184.86914,28533.35938,28160.46094,28497.58984,28497.58984,1930777700
14/2/2019,143372.49,28396.40039,28476.65039,28275.17969,28432.05078,28432.05078,1433724900
15/2/2019,178149.54,28241.43945,28256.68945,27845.86914,27900.83984,27900.83984,1781495400
18/2/2019,154994.35,28186.75,28412.08008,28186.75,28347.00977,28347.00977,1549943500
19/2/2019,165312.7,28440.49023,28488.9707,28208.86914,28228.13086,28228.13086,1653127000
20/2/2019,192870.71,28404.67969,28599.76953,28357.30078,28514.05078,28514.05078,1928707100
21/2/2019,181452.03,28450,28759.34961,28364.84961,28629.91992,28629.91992,1814520300
22/2/2019,170649.06,28478.96094,28816.30078,28430.19922,28816.30078,28816.30078,1706490600
25/2/2019,351797.24,28975.51953,29009.98047,28763.46094,28959.30078,28959.30078,3517972400
26/2/2019,275818.79,28971.23047,28971.23047,28700.00977,28772.06055,28772.06055,2758187900
27/2/2019,237840.42,28833.16016,29014.18945,28701.4707,28757.43945,28757.43945,2378404200
28/2/2019,208669.35,28719.71094,28917.49023,28571.13086,28633.17969,28633.17969,2086693500
1/3/2019,192704.04,28716.59961,28860.19922,28663.71094,28812.16992,28812.16992,1927040400
4/3/2019,268294.87,28855.10938,29241.80078,28760.66992,28959.58984,28959.58984,2682948700
5/3/2019,195162.15,28823.16016,29025.78906,28734.81055,28961.59961,28961.59961,1951621500
